"hed__School_Code__c","hed__Primary_Contact__c"
"learn.colostate.edu.1123836",""
"learn.colostate.edu.1123838",""
"learn.colostate.edu.1123837",""
"learn.colostate.edu.1123841","003Qm000008t6RZIAY"
"learn.colostate.edu.1123860",""
"learn.colostate.edu.1123852",""
"learn.colostate.edu.1123848",""
"learn.colostate.edu.1123854",""
"learn.colostate.edu.1123856",""
"learn.colostate.edu.1123868","003Qm000002Mkj1IAC"
"learn.colostate.edu.1123872",""
"learn.colostate.edu.1123862","003Qm000008tLiLIAU"
"learn.colostate.edu.1123864",""
"learn.colostate.edu.1123875",""
"learn.colostate.edu.1123873",""
"learn.colostate.edu.1123877",""
"learn.colostate.edu.1123876",""
"learn.colostate.edu.1123879","003Qm000004rAjjIAE"
"learn.colostate.edu.1123882",""
"learn.colostate.edu.1123890","003Qm000008uN8dIAE"
"learn.colostate.edu.1123891",""
"learn.colostate.edu.1123895",""
"learn.colostate.edu.1123897","003Qm0000071OXrIAM"
"learn.colostate.edu.1123904",""
"learn.colostate.edu.1123953",""
"learn.colostate.edu.1123902",""
"learn.colostate.edu.1123910",""
"learn.colostate.edu.1123912",""
"learn.colostate.edu.1123903",""
"learn.colostate.edu.1123914",""
"learn.colostate.edu.1123906",""
"learn.colostate.edu.1123909",""
"learn.colostate.edu.1123913",""
"learn.colostate.edu.1123918",""
"learn.colostate.edu.1123919",""
"learn.colostate.edu.1123922",""
"learn.colostate.edu.1123921",""
"learn.colostate.edu.1123930",""
"learn.colostate.edu.1123927",""
"learn.colostate.edu.1123926",""
"learn.colostate.edu.1123928",""
"learn.colostate.edu.1123933",""
"learn.colostate.edu.1123940",""
"learn.colostate.edu.1123936",""
"learn.colostate.edu.1123948",""
"learn.colostate.edu.1123944",""
"learn.colostate.edu.1123941",""
"learn.colostate.edu.1123943","003Qm0000049ieAIAQ"
"learn.colostate.edu.1123961","003Qm0000090JDjIAM"
"learn.colostate.edu.1123963",""
"learn.colostate.edu.1123960","003Qm0000026lO8IAI"
"learn.colostate.edu.1123966","003Qm000007O0MpIAK"
"learn.colostate.edu.1123972","0035b00002iXjWPAA0"
"learn.colostate.edu.1123975",""
"learn.colostate.edu.1123979",""
"learn.colostate.edu.1123981",""
"learn.colostate.edu.1123977",""
"learn.colostate.edu.1123984",""
"learn.colostate.edu.1123995",""
"learn.colostate.edu.1124004",""
"learn.colostate.edu.1124008",""
"learn.colostate.edu.1124010",""
"learn.colostate.edu.1124012",""
"learn.colostate.edu.1124015",""
"learn.colostate.edu.1124016",""
"learn.colostate.edu.1124027",""
"learn.colostate.edu.1124026",""
"learn.colostate.edu.1124023",""
"learn.colostate.edu.1124022","003Qm000007acsVIAQ"
"learn.colostate.edu.1124025",""
"learn.colostate.edu.1124032",""
"learn.colostate.edu.1124030",""
"learn.colostate.edu.1124038","0035b00002iUo9pAAC"
"learn.colostate.edu.1124031",""
"learn.colostate.edu.1124056","003Qm000002iWfwIAE"
"learn.colostate.edu.1124037",""
"learn.colostate.edu.1124044",""
"learn.colostate.edu.1124039",""
"learn.colostate.edu.1124054",""
"learn.colostate.edu.1124068",""
"learn.colostate.edu.1124069","003Qm000008xok9IAA"
"learn.colostate.edu.1124063",""
"learn.colostate.edu.1124073",""
"learn.colostate.edu.1124074",""
"learn.colostate.edu.1124076",""
"learn.colostate.edu.1124083",""
"learn.colostate.edu.1124082",""
"learn.colostate.edu.1124094",""
"learn.colostate.edu.1124084","003Qm000008xwulIAA"
"learn.colostate.edu.1124092",""
"learn.colostate.edu.1124093","003Qm000008yC6aIAE"
"learn.colostate.edu.1124107",""
"learn.colostate.edu.1124122",""
"learn.colostate.edu.1124119",""
"learn.colostate.edu.1124133",""
"learn.colostate.edu.1124120",""
"learn.colostate.edu.1124135",""
"learn.colostate.edu.1124142",""
"learn.colostate.edu.1124149","003Qm00000831uEIAQ"
"learn.colostate.edu.1124151",""
"learn.colostate.edu.1124152",""
"learn.colostate.edu.1124154",""
"learn.colostate.edu.1124155",""
"learn.colostate.edu.1124157",""
"learn.colostate.edu.1124158",""
"learn.colostate.edu.1124159",""
"learn.colostate.edu.1124163",""
"learn.colostate.edu.1124165",""
"learn.colostate.edu.1124166",""
"learn.colostate.edu.1124172",""
"learn.colostate.edu.1124180",""
"learn.colostate.edu.1124184",""
"learn.colostate.edu.1124189",""
"learn.colostate.edu.1124188",""
"learn.colostate.edu.1124186",""
"learn.colostate.edu.1124192","003Qm0000090IuKIAU"
"learn.colostate.edu.1124190","003Qm0000090LP4IAM"
"learn.colostate.edu.1124216",""
